Date,Source,Open,High,Low,Close,Adj Close,Volume,Stock
7/18/2017,yahoo,1006,1026.030029,1004,1024.449951,1024.449951,4007600,amazon
7/19/2017,yahoo,1025,1031.589966,1022.5,1026.869995,1026.869995,2964000,amazon
7/20/2017,yahoo,1031.589966,1034.969971,1022.52002,1028.699951,1028.699951,3097500,amazon
7/21/2017,yahoo,1021.280029,1026.099976,1011,1025.670044,1025.670044,2734600,amazon
7/24/2017,yahoo,1028.339966,1043.01001,1027.430054,1038.949951,1038.949951,3288000,amazon
7/25/2017,yahoo,1038.050049,1043.329956,1032.47998,1039.869995,1039.869995,2447600,amazon
7/26/2017,yahoo,1043.199951,1053.199951,1043.199951,1052.800049,1052.800049,2921300,amazon
7/27/2017,yahoo,1069.550049,1083.310059,1040.180054,1046,1046,10991700,amazon
7/28/2017,yahoo,1012.140015,1032.849976,1001,1020.039978,1020.039978,7709400,amazon
7/31/2017,yahoo,1019.049988,1019.049988,987.02002,987.780029,987.780029,7352100,amazon
8/1/2017,yahoo,996.109985,1006.400024,991.580017,996.190002,996.190002,4572600,amazon
8/2/2017,yahoo,1001.77002,1003.210022,981.72998,995.890015,995.890015,4070000,amazon
8/3/2017,yahoo,999.469971,999.5,984.590027,986.919983,986.919983,3255800,amazon
8/4/2017,yahoo,989.679993,991.669983,982,987.580017,987.580017,2730300,amazon
8/7/2017,yahoo,990.650024,995,987.140015,992.27002,992.27002,2676600,amazon
8/8/2017,yahoo,994.349976,996.280029,985.789978,989.840027,989.840027,2902800,amazon
8/9/2017,yahoo,982.599976,988,975.27002,982.01001,982.01001,3569700,amazon
8/10/2017,yahoo,976.299988,979.859985,954.679993,956.919983,956.919983,5684100,amazon
8/11/2017,yahoo,960,970.390015,951.380005,967.98999,967.98999,3468000,amazon
8/14/2017,yahoo,978.409973,985.5,976.190002,983.299988,983.299988,3172900,amazon
8/15/2017,yahoo,988.900024,991.73999,982,982.73999,982.73999,2549300,amazon
8/16/2017,yahoo,981.650024,986.460022,973.219971,978.179993,978.179993,3132100,amazon
8/17/2017,yahoo,977.840027,977.840027,960.320007,960.570007,960.570007,3512400,amazon
8/18/2017,yahoo,961.400024,965.429993,954.650024,958.469971,958.469971,3284800,amazon
8/21/2017,yahoo,957.570007,961.200012,945.460022,953.289978,953.289978,3164500,amazon
8/22/2017,yahoo,955.52002,967.929993,955.5,966.900024,966.900024,2750000,amazon
8/23/2017,yahoo,959.380005,962,954.200012,958,958,2668300,amazon
8/24/2017,yahoo,957.419983,959,941.140015,952.450012,952.450012,5195700,amazon
8/25/2017,yahoo,956,957.619995,944.099976,945.26001,945.26001,3324800,amazon
8/28/2017,yahoo,946.539978,953,942.25,946.02002,946.02002,2596700,amazon
8/29/2017,yahoo,940,956,936.330017,954.059998,954.059998,2874300,amazon
8/30/2017,yahoo,958.440002,969.409973,956.909973,967.590027,967.590027,2904600,amazon
8/31/2017,yahoo,974.700012,981,972.76001,980.599976,980.599976,3331500,amazon
9/1/2017,yahoo,984.200012,984.5,976.880005,978.25,978.25,2535900,amazon
9/5/2017,yahoo,975.400024,976.77002,960.369995,965.27002,965.27002,2883200,amazon
9/6/2017,yahoo,968.320007,971.840027,960.599976,967.799988,967.799988,2129900,amazon
9/7/2017,yahoo,974,980.590027,972.549988,979.469971,979.469971,2566800,amazon
9/8/2017,yahoo,979.099976,979.880005,963.469971,965.900024,965.900024,2605300,amazon
9/11/2017,yahoo,974.460022,981.940002,974.219971,977.960022,977.960022,2186700,amazon
9/12/2017,yahoo,983.27002,984.669983,975.52002,982.580017,982.580017,2481100,amazon
9/13/2017,yahoo,983.969971,1000,979.419983,999.599976,999.599976,3374700,amazon
9/14/2017,yahoo,996.799988,998.559998,987.73999,992.210022,992.210022,3913300,amazon
9/15/2017,yahoo,993.01001,996.25,984.030029,986.789978,986.789978,3760200,amazon
9/18/2017,yahoo,990.400024,992.789978,968.169983,974.190002,974.190002,3411300,amazon
9/19/2017,yahoo,977.25,978.23999,967.460022,969.859985,969.859985,2671100,amazon
